,Country,Year,Month,Activity_new,Injuries_new,Type_new,occurence_per_month
0,ATLANTIC OCEAN,1882,Jan,Other,Fatal,Unprovoked,1.0
1,ATLANTIC OCEAN,1885,Aug,Other,Fatal,Unprovoked,1.0
2,ATLANTIC OCEAN,1890,Oct,Other,Fatal,Unprovoked,1.0
3,ATLANTIC OCEAN,1892,Dec,Other,Fatal,Unprovoked,1.0
4,ATLANTIC OCEAN,1916,Jun,Other,Fatal,Unprovoked,1.0
5,ATLANTIC OCEAN,1941,Jan,Other,Fatal,Unprovoked,1.0
6,ATLANTIC OCEAN,1942,Jul,Other,Fatal,Unprovoked,1.0
7,ATLANTIC OCEAN,1942,Sep,Other,Other Inury,Unprovoked,1.0
8,ATLANTIC OCEAN,1942,Sep,Swimming,Other Inury,Unprovoked,1.0
9,ATLANTIC OCEAN,1961,Jan,Other,Other Inury,Unprovoked,1.0
10,ATLANTIC OCEAN,2005,Dec,Other,No injury,Unprovoked,1.0
11,ATLANTIC OCEAN,2006,Jan,Other,No injury,Unprovoked,2.0
12,ATLANTIC OCEAN,2015,Feb,Other,No injury,Unprovoked,1.0
13,AUSTRALIA,1788,May,Fishing,No injury,Unprovoked,1.0
14,AUSTRALIA,1832,Jan,Swimming,Laceration,Unprovoked,1.0
15,AUSTRALIA,1832,Jun,Fishing,Other Inury,Unprovoked,1.0
16,AUSTRALIA,1837,Jan,Other,Fatal,Unprovoked,1.0
17,AUSTRALIA,1840,Dec,Swimming,Fatal,Unprovoked,1.0
18,AUSTRALIA,1840,Feb,Other,No injury,Unprovoked,1.0
19,AUSTRALIA,1841,Mar,Swimming,Fatal,Unprovoked,1.0
20,AUSTRALIA,1845,Dec,Fishing,Fatal,Unprovoked,1.0
21,AUSTRALIA,1847,Mar,Other,Other Inury,Unprovoked,1.0
22,AUSTRALIA,1847,Nov,Swimming,Other Inury,Unprovoked,1.0
23,AUSTRALIA,1849,Dec,Swimming,Fatal,Unprovoked,1.0
24,AUSTRALIA,1849,Sep,Swimming,Fatal,Unprovoked,1.0
25,AUSTRALIA,1852,Oct,Other,Fatal,Unprovoked,1.0
26,AUSTRALIA,1853,Nov,Swimming,Other Inury,Unprovoked,1.0
27,AUSTRALIA,1855,Apr,Other,Fatal,Unprovoked,1.0
28,AUSTRALIA,1855,Mar,Other,Fatal,Unprovoked,1.0
29,AUSTRALIA,1855,Nov,Swimming,Fatal,Unprovoked,1.0
30,AUSTRALIA,1856,Feb,Swimming,Laceration,Unprovoked,1.0
31,AUSTRALIA,1858,Mar,Swimming,Fatal,Unprovoked,1.0
32,AUSTRALIA,1860,Dec,Swimming,Laceration,Unprovoked,1.0
33,AUSTRALIA,1861,Jan,Swimming,Laceration,Unprovoked,1.0
34,AUSTRALIA,1862,Dec,Fishing,Fatal,Unprovoked,1.0
35,AUSTRALIA,1863,Apr,Other,Fatal,Unprovoked,1.0
36,AUSTRALIA,1863,Jan,Swimming,Fatal,Unprovoked,1.0
37,AUSTRALIA,1863,Mar,Swimming,Laceration,Unprovoked,1.0
38,AUSTRALIA,1868,Jan,Fishing,No injury,Unprovoked,1.0
39,AUSTRALIA,1869,Apr,Fishing,Other Inury,Unprovoked,1.0
40,AUSTRALIA,1870,Jan,Swimming,Other Inury,Unprovoked,1.0
41,AUSTRALIA,1870,May,Fishing,Laceration,Unprovoked,1.0
42,AUSTRALIA,1870,mid,Other,Fatal,Unprovoked,1.0
43,AUSTRALIA,1872,Feb,Other,Fatal,Unprovoked,1.0
44,AUSTRALIA,1873,Jan,Swimming,Other Inury,Unprovoked,1.0
45,AUSTRALIA,1874,Nov,Swimming,Other Inury,Unprovoked,1.0
46,AUSTRALIA,1875,Nov,Fishing,Other Inury,Unprovoked,1.0
47,AUSTRALIA,1876,Feb,Swimming,Fatal,Unprovoked,1.0
48,AUSTRALIA,1876,May,Swimming,Fatal,Unprovoked,1.0
49,AUSTRALIA,1877,Apr,Swimming,Other Inury,Unprovoked,1.0
50,AUSTRALIA,1877,Dec,Other,Fatal,Unprovoked,1.0
51,AUSTRALIA,1877,Dec,Swimming,Other Inury,Unprovoked,1.0
52,AUSTRALIA,1877,Feb,Fishing,Laceration,Unprovoked,1.0
53,AUSTRALIA,1877,Jan,Swimming,Fatal,Unprovoked,1.0
54,AUSTRALIA,1877,Jan,Swimming,Other Inury,Unprovoked,1.0
55,AUSTRALIA,1877,Sep,Fishing,No injury,Unprovoked,1.0
56,AUSTRALIA,1878,Nov,Swimming,Laceration,Unprovoked,1.0
57,AUSTRALIA,1879,Nov,Swimming,Other Inury,Unprovoked,1.0
58,AUSTRALIA,1880,Jan,Fishing,No injury,Unprovoked,1.0
59,AUSTRALIA,1880,Jan,Swimming,Laceration,Unprovoked,1.0
60,AUSTRALIA,1880,Nov,Swimming,Fatal,Unprovoked,1.0
61,AUSTRALIA,1880,Oct,Other,Other Inury,Unprovoked,1.0
62,AUSTRALIA,1882,Apr,Fishing,Fatal,Unprovoked,1.0
63,AUSTRALIA,1882,Feb,Other,Fatal,Unprovoked,1.0
64,AUSTRALIA,1882,Jan,Swimming,Fatal,Unprovoked,1.0
